n_components,accuracy,time
10,0.8429639700883752,3.953073501586914
20,0.8776342624065262,5.0117950439453125
30,0.8966689326988443,5.7515480518341064
40,0.9014276002719238,7.502768516540527
50,0.9000679809653297,8.094557523727417
60,0.8925900747790618,9.296601295471191
70,0.9000679809653297,11.485105276107788
80,0.8993881713120326,15.353775978088379
90,0.8980285520054385,16.69039797782898
100,0.8966689326988443,18.407094478607178
110,0.8925900747790618,19.629088878631592
120,0.8864717878993882,22.234405040740967
130,0.8966689326988443,24.423319578170776
140,0.8932698844323589,26.287437200546265
150,0.8891910265125765,25.532995462417603
160,0.8898708361658736,29.029883861541748
170,0.8817131203263087,29.271547555923462
180,0.8878314072059823,31.788684129714966
190,0.8898708361658736,32.353734731674194
200,0.8844323589394969,36.28282642364502
210,0.8749150237933379,39.44055438041687
220,0.8796736913664174,42.41406536102295
230,0.8803535010197144,44.2786591053009
240,0.8925900747790618,44.21128797531128
250,0.8776342624065262,44.48203754425049
260,0.8810333106730116,47.94414138793945
270,0.8844323589394969,51.08227276802063
280,0.8823929299796057,52.97143220901489
