n_components,accuracy,time
10,83.34,130.30
20,86.95,256.74
30,87.49,397.57
40,87.02,547.80
50,86.47,677.80
60,85.93,791.21
70,87.15,938.86
80,87.08,1162.57
90,86.88,1259.10
100,86.61,1398.69
